Order Priority,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Region,State or Province,City,Order Date,Ship Date,Quantity ,Order ID
Not Specified,2.88,0.5,2,Janice Fletcher,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 49,Central,Illinois,Addison,28/05/2012,30/05/2012,2,88525
High,2.84,0.93,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,West,Washington,Anacortes,07/07/2010,08/07/2010,4,88522
Not Specified,6.68,6.15,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1968,West,Washington,Anacortes,27/07/2011,28/07/2011,7,88523
Not Specified,5.68,3.6,3,Bonnie Potter,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Preferred Stainless Steel Scissors,West,Washington,Anacortes,27/07/2011,28/07/2011,7,88523
Not Specified,205.99,2.5,3,Bonnie Potter,Express Air,Corporate,Technology,Telephones and Communication,Small Box,V70,West,Washington,Anacortes,27/07/2011,27/07/2011,8,88523
Medium,55.48,14.3,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,West,Washington,Anacortes,09/11/2011,11/11/2011,37,88524
Low,120.97,26.3,3,Bonnie Potter,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,West,Washington,Anacortes,01/07/2013,08/07/2013,12,88526
Not Specified,500.98,26,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,West,California,San Gabriel,13/12/2010,15/12/2010,12,90193
Low,6.48,6.81,5,Ronnie Proctor,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1930,West,California,San Gabriel,12/05/2012,21/05/2012,18,90197
High,90.24,0.99,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,West,California,San Jose,26/05/2011,26/05/2011,16,90194
Critical,6.48,6.6,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 21,West,California,San Jose,29/12/2012,31/12/2012,4,90200
Critical,4.84,0.71,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,West,California,San Jose,29/12/2012,31/12/2012,17,90200
Critical,85.99,0.99,6,Dwight Hwang,Regular Air,Home Office,Technology,Telephones and Communication,Wrap Bag,Accessory34,West,California,San Jose,29/12/2012,31/12/2012,24,90200
High,12.28,4.86,7,Leon Gill,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1933,East,Massachusetts,Fall River,30/10/2012,31/10/2012,19,90198
Medium,140.98,36.09,8,Melanie Garner,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",East,New Hampshire,Bedford,25/12/2012,26/12/2012,5,90199
Medium,286.85,61.76,9,Lorraine Houston,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,East,New Jersey,Camden,25/12/2012,27/12/2012,8,90199
Critical,15.57,1.39,10,Meredith Norris Thomas,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,East,New Jersey,Pennsauken,04/10/2011,05/10/2011,14,90195
