Order Priority,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Region,State or Province,City,Order Date,Ship Date,Quantity,Order ID,SalesAmountWithoutShipping,SalesAmountWithShipping
Not Specified,2.88,0.5,2,Janice Fletcher,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 49,Central,Illinois,Addison,2012-05-28,2012-05-30,2,88525,5.76,6.26
High,2.84,0.93,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,West,Washington,Anacortes,2010-07-07,2010-08-07,4,88522,11.36,12.29
Not Specified,6.68,6.15,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1968,West,Washington,Anacortes,2011-07-27,2011-07-28,7,88523,46.76,52.91
Not Specified,5.68,3.6,3,Bonnie Potter,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Preferred Stainless Steel Scissors,West,Washington,Anacortes,2011-07-27,2011-07-28,7,88523,39.76,43.36
Not Specified,205.99,2.5,3,Bonnie Potter,Express Air,Corporate,Technology,Telephones and Communication,Small Box,V70,West,Washington,Anacortes,2011-07-27,2011-07-27,8,88523,1647.92,1650.42
Medium,55.48,14.3,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,West,Washington,Anacortes,2011-09-11,2011-11-11,37,88524,2052.7599999999998,2067.06
Low,120.97,26.3,3,Bonnie Potter,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,West,Washington,Anacortes,2013-01-07,2013-08-07,12,88526,1451.6399999999999,1477.9399999999998
Not Specified,500.98,26.0,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,West,California,San Gabriel,2010-12-13,2010-12-15,12,90193,6011.76,6037.76
Low,6.48,6.8100000000000005,5,Ronnie Proctor,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1930,West,California,San Gabriel,2012-12-05,2012-05-21,18,90197,116.64000000000001,123.45000000000002
High,90.24,0.99,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,West,California,San Jose,2011-05-26,2011-05-26,16,90194,1443.84,1444.83
Critical,6.48,6.6,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 21,West,California,San Jose,2012-12-29,2012-12-31,4,90200,25.92,32.52
Critical,4.84,0.71,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,West,California,San Jose,2012-12-29,2012-12-31,17,90200,82.28,82.99
Critical,85.99,0.99,6,Dwight Hwang,Regular Air,Home Office,Technology,Telephones and Communication,Wrap Bag,Accessory34,West,California,San Jose,2012-12-29,2012-12-31,24,90200,2063.7599999999998,2064.7499999999995
High,12.28,4.86,7,Leon Gill,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1933,East,Massachusetts,Fall River,2012-10-30,2012-10-31,19,90198,233.32,238.18
Medium,140.98,36.09,8,Melanie Garner,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",East,New Hampshire,Bedford,2012-12-25,2012-12-26,5,90199,704.9,740.99
Medium,286.85,61.76,9,Lorraine Houston,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,East,New Jersey,Camden,2012-12-25,2012-12-27,8,90199,2294.8,2356.5600000000004
Critical,15.57,1.3900000000000001,10,Meredith Norris Thomas,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,East,New Jersey,Pennsauken,2011-04-10,2011-05-10,14,90195,217.98000000000002,219.37
Critical,9.48,7.29,11,Marcus Dunlap,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",East,New Jersey,Roselle,2010-08-15,2010-08-17,22,90192,208.56,215.85
High,10.98,3.37,12,Kara Pace,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,East,Rhode Island,Cranston,2012-02-24,2012-02-26,8,90196,87.84,91.21000000000001
Medium,78.69,19.99,14,Gwendolyn F Tyson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,Central,Minnesota,Prior Lake,2010-12-05,2010-05-14,16,86838,1259.04,1279.03
Medium,3.2800000000000002,2.31,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,Central,Minnesota,Prior Lake,2010-12-05,2010-05-13,7,86838,22.96,25.27
Medium,3.2800000000000002,4.2,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,Central,Minnesota,Prior Lake,2010-12-05,2010-05-13,4,86838,13.120000000000001,17.32
Medium,3.58,1.63,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",Central,Minnesota,Prior Lake,2010-12-05,2010-05-13,4,86838,14.32,15.95
